,index,alignment,equation,solutions,question,Type,Clean,pred
248,865,"[13, 66]",['X=(16.0/4.0)'],[4.0],"Virginia has 16 eggs and 8 Skittles. If she shares the eggs among 4 friends, how many eggs does each friend get?",Division,virginia has eggs and skittles if she shares the eggs among friends how many eggs does each friend get,Division
249,969,"[38, 70]",['X=(2.0+84.0)'],[86.0],Shawn has 13 blocks. Mildred has with 2 blocks. Mildred finds another 84. How many blocks does Mildred end with?,Addition,shawn has blocks mildred has with blocks mildred finds another how many blocks does mildred end with,Addition
250,990,"[21, 32]",['X=(3.0*2.0)'],[6.0],If Anne wandered for 3 hours at 2 miles per hour. How far did Anne go?,Multiplication,if anne wandered for hours at miles per hour how far did anne go,Multiplication
251,991,"[15, 56]",['X=(3.0*2.0)'],[6.0],It took Amanda 3 hours to stroll to Kimberly's house at 2 miles per hour. How far is it between Amanda's house and Kimberly's house?,Multiplication,it took amanda hours to stroll to kimberlys house at miles per hour how far is it between amandas house and kimberlys house,Multiplication
252,992,"[21, 32]",['X=(3.0*5.0)'],[15.0],If Stephanie ran for 3 hours at 5 miles per hour. How far did Stephanie go?,Multiplication,if stephanie ran for hours at miles per hour how far did stephanie go,Multiplication
253,993,"[20, 31]",['X=(6.0/3.0)'],[2.0],"If Charles strolled 6 miles at 3 miles per hour, how long was Charles travelling?",Division,if charles strolled miles at miles per hour how long was charles travelling,Division
254,994,"[13, 49]",['X=(5.0*2.0)'],[10.0],It took Carl 5 hours to ride to Ralph's house at 2 miles per hour. How far is it between Carl's house and Ralph's house?,Multiplication,it took carl hours to ride to ralphs house at miles per hour how far is it between carls house and ralphs house,Multiplication
255,995,"[41, 103]",['X=(10.0/2.0)'],[5.0],Emily sprinted to Timothy's house. It is 10 miles from Emily's house to Timothy's house. It took Emily 2 hours to get there. How fast did Emily go?,Division,emily sprinted to timothys house it is miles from emilys house to timothys house it took emily hours to get there how fast did emily go,Division
256,996,"[22, 33]",['X=(5.0*3.0)'],[15.0],If Norma wandered for 5 hours at 3 miles per hour. How far did Norma go?,Multiplication,if norma wandered for hours at miles per hour how far did norma go,Multiplication
257,997,"[20, 31]",['X=(6.0/3.0)'],[2.0],"If Charles strolled 6 miles at 3 miles per hour, how long was Charles travelling?",Division,if charles strolled miles at miles per hour how long was charles travelling,Division
258,998,"[21, 32]",['X=(3.0*2.0)'],[6.0],If Anne wandered for 3 hours at 2 miles per hour. How far did Anne go?,Multiplication,if anne wandered for hours at miles per hour how far did anne go,Multiplication
259,999,"[21, 32]",['X=(4.0*2.0)'],[8.0],If Rose strolled for 4 hours at 2 miles per hour. How far did Rose go?,Multiplication,if rose strolled for hours at miles per hour how far did rose go,Multiplication
260,1001,"[15, 56]",['X=(2.0*4.0)'],[8.0],It took Amanda 2 hours to stroll to Kimberly's house at 4 miles per hour. How far is it between Amanda's house and Kimberly's house?,Multiplication,it took amanda hours to stroll to kimberlys house at miles per hour how far is it between amandas house and kimberlys house,Multiplication
261,1003,"[43, 108]",['X=(12.0/6.0)'],[2.0],Martin strolled to Lawrence's house. It is 12 miles from Martin's house to Lawrence's house. It took Martin 6 hours to get there. How fast did Martin go?,Division,martin strolled to lawrences house it is miles from martins house to lawrences house it took martin hours to get there how fast did martin go,Division
262,1005,"[15, 56]",['X=(5.0*2.0)'],[10.0],It took Amanda 5 hours to stroll to Kimberly's house at 2 miles per hour. How far is it between Amanda's house and Kimberly's house?,Multiplication,it took amanda hours to stroll to kimberlys house at miles per hour how far is it between amandas house and kimberlys house,Multiplication
263,1006,"[43, 108]",['X=(12.0/6.0)'],[2.0],Martin strolled to Lawrence's house. It is 12 miles from Martin's house to Lawrence's house. It took Martin 6 hours to get there. How fast did Martin go?,Division,martin strolled to lawrences house it is miles from martins house to lawrences house it took martin hours to get there how fast did martin go,Division
264,1009,"[41, 103]",['X=(10.0/2.0)'],[5.0],Emily sprinted to Timothy's house. It is 10 miles from Emily's house to Timothy's house. It took Emily 2 hours to get there. How fast did Emily go?,Division,emily sprinted to timothys house it is miles from emilys house to timothys house it took emily hours to get there how fast did emily go,Division
265,1010,"[37, 94]",['X=(24.0/12.0)'],[2.0],Jose strolled to Jane's house. It is 24 miles from Jose's house to Jane's house. It took Jose 12 hours to get there. How fast did Jose go?,Division,jose strolled to janes house it is miles from joses house to janes house it took jose hours to get there how fast did jose go,Division
266,1011,"[18, 53]",['X=(3.0*8.0)'],[24.0],It took Katherine 3 hours to run to Louis's house at 8 miles per hour. How far is it between Katherine's house and Louis's house?,Multiplication,it took katherine hours to run to louiss house at miles per hour how far is it between katherines house and louiss house,Multiplication
267,1012,"[39, 103]",['X=(14.0/2.0)'],[7.0],Patrick jogged to Aaron's house. It is 14 miles from Patrick's house to Aaron's house. It took Patrick 2 hours to get there. How fast did Patrick go?,Division,patrick jogged to aarons house it is miles from patricks house to aarons house it took patrick hours to get there how fast did patrick go,Division
268,1013,"[43, 108]",['X=(10.0/5.0)'],[2.0],Rachel strolled to Nicholas's house. It is 10 miles from Rachel's house to Nicholas's house. It took Rachel 5 hours to get there. How fast did Rachel go?,Division,rachel strolled to nicholass house it is miles from rachels house to nicholass house it took rachel hours to get there how fast did rachel go,Division
269,1015,"[17, 29]",['X=(25.0/5.0)'],[5.0],"If Joan bicycled 25 miles at 5 miles per hour, how long was Joan travelling?",Division,if joan bicycled miles at miles per hour how long was joan travelling,Division
270,1016,"[14, 26]",['X=(24.0/6.0)'],[4.0],Mark sprinted 24 miles at 6 miles per hour. How long did Mark sprint?,Division,mark sprinted miles at miles per hour how long did mark sprint,Division
271,1017,"[21, 33]",['X=(14.0/2.0)'],[7.0],"If Benjamin strolled 14 miles at 2 miles per hour, how long was Benjamin travelling?",Division,if benjamin strolled miles at miles per hour how long was benjamin travelling,Division
272,1020,"[14, 26]",['X=(24.0/6.0)'],[4.0],Mark sprinted 24 miles at 6 miles per hour. How long did Mark sprint?,Division,mark sprinted miles at miles per hour how long did mark sprint,Division
273,1022,"[17, 29]",['X=(25.0/5.0)'],[5.0],"If Joan bicycled 25 miles at 5 miles per hour, how long was Joan travelling?",Division,if joan bicycled miles at miles per hour how long was joan travelling,Division
274,1023,"[19, 31]",['X=(20.0/4.0)'],[5.0],Christine wandered 20 miles at 4 miles per hour. How long did Christine wander?,Division,christine wandered miles at miles per hour how long did christine wander,Division
275,1025,"[19, 31]",['X=(20.0/4.0)'],[5.0],Christine wandered 20 miles at 4 miles per hour. How long did Christine wander?,Division,christine wandered miles at miles per hour how long did christine wander,Division
276,1031,"[11, 23]",['X=(80.0/16.0)'],[5.0],James rode 80 miles at 16 miles per hour. How long did James ride?,Division,james rode miles at miles per hour how long did james ride,Division
277,1033,"[9, 21]",['X=(80.0/10.0)'],[8.0],Juan ran 80 miles at 10 miles per hour. How long did Juan run?,Division,juan ran miles at miles per hour how long did juan run,Division
278,1035,"[11, 23]",['X=(80.0/16.0)'],[5.0],James rode 80 miles at 16 miles per hour. How long did James ride?,Division,james rode miles at miles per hour how long did james ride,Division
279,1041,"[10, 23]",['X=(256.0/32.0)'],[8.0],Lisa flew 256 miles at 32 miles per hour. How long did Lisa fly?,Division,lisa flew miles at miles per hour how long did lisa fly,Division
280,1049,"[10, 23]",['X=(256.0/32.0)'],[8.0],Lisa flew 256 miles at 32 miles per hour. How long did Lisa fly?,Division,lisa flew miles at miles per hour how long did lisa fly,Division
281,1065,"[21, 32]",['X=(5.0/4.0)'],[1.25],Christopher strolled 5 miles at 4 miles per hour. How long did Christopher stroll?,Division,christopher strolled miles at miles per hour how long did christopher stroll,Division
282,1066,"[14, 30]",['X=(4.0-2.0)'],[2.0],Jose wandered 4 kilometers at 2 kilometers per hour. How long did Jose wander?,Subtraction,jose wandered kilometers at kilometers per hour how long did jose wander,Subtraction
283,1091,"[17, 34]",['X=(25.0/5.0)'],[5.0],"If Teresa jogged 25 kilometers at 5 kilometers per hour, how long was Teresa jogging?",Division,if teresa jogged kilometers at kilometers per hour how long was teresa jogging,Division
284,1100,"[17, 34]",['X=(25.0/5.0)'],[5.0],"If Teresa jogged 25 kilometers at 5 kilometers per hour, how long was Teresa jogging?",Division,if teresa jogged kilometers at kilometers per hour how long was teresa jogging,Division
285,1103,"[17, 34]",['X=(25.0/5.0)'],[5.0],"If Teresa jogged 25 kilometers at 5 kilometers per hour, how long was Teresa jogging?",Division,if teresa jogged kilometers at kilometers per hour how long was teresa jogging,Division
286,1107,"[19, 36]",['X=(80.0/10.0)'],[8.0],"If Benjamin skated 80 kilometers at 10 kilometers per hour, how long was Benjamin skating?",Division,if benjamin skated kilometers at kilometers per hour how long was benjamin skating,Division
287,1115,"[20, 37]",['X=(40.0/8.0)'],[5.0],"If Heather bicycled 40 kilometers at 8 kilometers per hour, how long was Heather bicycling?",Division,if heather bicycled kilometers at kilometers per hour how long was heather bicycling,Division
288,1121,"[19, 36]",['X=(80.0/10.0)'],[8.0],"If Benjamin skated 80 kilometers at 10 kilometers per hour, how long was Benjamin skating?",Division,if benjamin skated kilometers at kilometers per hour how long was benjamin skating,Division
289,1127,"[16, 33]",['X=(20.0/2.0)'],[10.0],Jeremy strolled 20 kilometers at 2 kilometers per hour. How long did Jeremy stroll?,Division,jeremy strolled kilometers at kilometers per hour how long did jeremy stroll,Division
290,1128,"[16, 33]",['X=(20.0/2.0)'],[10.0],Jeremy strolled 20 kilometers at 2 kilometers per hour. How long did Jeremy stroll?,Division,jeremy strolled kilometers at kilometers per hour how long did jeremy stroll,Division
291,1135,"[19, 35]",['X=(4.0-3.0)'],[1.0],"If Lawrence walked 4 kilometers at 3 kilometers per hour, how long was Lawrence walking?",Subtraction,if lawrence walked kilometers at kilometers per hour how long was lawrence walking,Subtraction
292,1137,"[10, 41]",['X=(7.0-5.0)'],[2.0], You have 7 balloons and your friend has 5 balloons. How many more  balloons do you have than your friend?,Subtraction,you have balloons and your friend has balloons how many more balloons do you have than your friend,Subtraction
293,1138,"[1, 36]",['X=(2.0+4.0)'],[6.0], 2 birds were sitting on the fence. 4 more birds came to join them. How many birds are sitting on the fence?,Addition,birds were sitting on the fence more birds came to join them how many birds are sitting on the fence,Addition
294,1139,"[86, 20]",['X=(11.0-7.0)'],[4.0], You have collected 7 crickets. How many more crickets do you need to collect to have 11 crickets?,Subtraction,you have collected crickets how many more crickets do you need to collect to have crickets,Subtraction
295,1140,"[11, 36]",['X=(6.0*2.0)'],[12.0], A bee has 6 legs. How many legs do 2 bees have?,Multiplication,a bee has legs how many legs do bees have,Multiplication
296,1141,"[11, 23]",['X=(6.0-3.0)'],[3.0], There are 6 birds and 3 nests. How many more birds are there than nests?,Subtraction,there are birds and nests how many more birds are there than nests,Subtraction
297,1142,"[11, 25]",['X=(5.0-3.0)'],[2.0], There are 5 flowers and 3 bees. How many fewer bees are there than flowers?,Subtraction,there are flowers and bees how many fewer bees are there than flowers,Subtraction
298,1143,"[1, 35]",['X=(3.0+2.0)'],[5.0], 3 owls were sitting on the fence. 2 more owls joined them. How many owls are on the fence now?,Addition,owls were sitting on the fence more owls joined them how many owls are on the fence now,Addition
299,1144,"[1, 39]",['X=(2.0-1.0)'],[1.0], 2 beavers were working on their home. 1 went for a swim. How many beavers are still working on their home?,Subtraction,beavers were working on their home went for a swim how many beavers are still working on their home,Subtraction
300,1145,"[1, 39]",['X=(2.0+1.0)'],[3.0], 2 toucans are sitting on a tree limb. 1 more toucan joins them. How many toucans in all?,Addition,toucans are sitting on a tree limb more toucan joins them how many toucans in all,Addition
301,1146,"[11, 38]",['X=(4.0-2.0)'],[2.0], There are 4 squirrels in a tree with 2 nuts. How many more squirrels are there than nuts?,Subtraction,there are squirrels in a tree with nuts how many more squirrels are there than nuts,Subtraction
302,1147,"[29, 56]",['X=(24.0+14.0)'],[38.0], Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents. How much did she spend in all for the two toys?,Addition,mrs hilt bought a yoyo for cents and a whistle for cents how much did she spend in all for the two toys,Addition
303,1148,"[33, 93]",['X=(29.0-17.0)'],[12.0]," At Mrs. Hilt's house, there was 29 inches of snow, and Brecknock Elementary School received 17 inches of snow. How much more snow  did Mrs. Hilt's house have?",Subtraction,at mrs hilts house there was inches of snow and brecknock elementary school received inches of snow how much more snow did mrs hilts house have,Subtraction
304,1149,"[17, 64]",['X=(5.0*3.0)'],[15.0], Mrs. Hilt reads 5 books a day. How many books does she read in 3 days?,Multiplication,mrs hilt reads books a day how many books does she read in days,Multiplication
305,1150,"[15, 26]",['X=(3.0*2.0)'],[6.0], Mrs. Hilt saw 3 bugs eat 2 flowers each. How many flowers total did the bugs eat?,Multiplication,mrs hilt saw bugs eat flowers each how many flowers total did the bugs eat,Multiplication
306,1151,"[15, 49]",['X=(15.0-11.0)'],[4.0], Mrs. Hilt had 15 cents. She bought a pencil for 11 cents. How much money did she have left?,Subtraction,mrs hilt had cents she bought a pencil for cents how much money did she have left,Subtraction
307,1152,"[18, 43]",['X=(2.0*8.0)'],[16.0], Mrs. Hilt bought 2 pizzas. Each pizza had 8 slices. How many total slices of pizza did she have?,Multiplication,mrs hilt bought pizzas each pizza had slices how many total slices of pizza did she have,Multiplication
308,1153,"[15, 80]",['X=(5.0*3.0)'],[15.0], Mrs. Hilt ate 5 apples every hour. How many apples had she eaten at the end of 3 hours?,Multiplication,mrs hilt ate apples every hour how many apples had she eaten at the end of hours,Multiplication
309,1154,"[68, 96]",['X=(6.0+5.0)'],[11.0], Mary’s mom is getting ready for Mary’s birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon. How many balloons  did she blow up in all?,Addition,marys mom is getting ready for marys birthday party she blew up balloons this morning and balloons this afternoon how many balloons did she blow up in all,Addition
310,1155,"[85, 117]",['X=(4.0+3.0)'],[7.0]," Shelby’s teacher gives out gold stars for great math work. Yesterday, Shelby earned 4 gold stars. Today, she earned 3 more. How many gold  stars did Shelby earn in all?",Addition,shelbys teacher gives out gold stars for great math work yesterday shelby earned gold stars today she earned more how many gold stars did shelby earn in all,Addition
311,1156,"[29, 50]",['X=(10.0+8.0)'],[18.0], The Litter Patrol picked up 10 glass bottles and 8 aluminum cans on Saturday. How many pieces of litter did they pick up altogether?,Addition,the litter patrol picked up glass bottles and aluminum cans on saturday how many pieces of litter did they pick up altogether,Addition
312,1157,"[85, 116]",['X=(6.0+9.0)'],[15.0]," Carson’s teacher gives out gold stars for great math work. Yesterday, Carson earned 6 gold stars. Today, he earned 9 more. How many gold  stars did Carson earn in all?",Addition,carsons teacher gives out gold stars for great math work yesterday carson earned gold stars today he earned more how many gold stars did carson earn in all,Addition
313,1158,"[12, 69]",['X=(10.0-3.0)'],[7.0]," There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?",Subtraction,there were students riding on the school bus at the first stop students got off of the bus how many students are left on the bus,Subtraction
314,1159,"[44, 68]",['X=(12.0+16.0)'],[28.0], Lucy went to the grocery store. She bought 12 packs of cookies and 16  packs of noodles. How many packs of groceries did she buy in all?,Addition,lucy went to the grocery store she bought packs of cookies and packs of noodles how many packs of groceries did she buy in all,Addition
315,1160,"[37, 54]",['X=(15.0+7.0)'],[22.0], Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?,Addition,roden went to a pet shop he bought gold fish and blue fish how many fish did he buy,Subtraction
316,1161,"[8, 61]",['X=(21.0+17.0)'],[38.0]," I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?",Addition,i read pages of my english book yesterday today i read pages what is the total number of pages did i read,Addition
317,1162,"[24, 38]",['X=(542.0+387.0)'],[929.0]," In a school, there are 542 girls and 387 boys. How many pupils are there in that school?",Addition,in a school there are girls and boys how many pupils are there in that school,Addition
318,1163,"[11, 33]",['X=(34.0+28.0)'],[62.0], Linda has 34 candies. Chloe has 28. How many candies do they have in all?,Addition,linda has candies chloe has how many candies do they have in all,Addition
319,1164,"[10, 37]",['X=(63.0+50.0)'],[113.0], Gino has 63 popsicle sticks. I have 50 popsicle sticks. What is the sum of our popsicle sticks?,Addition,gino has popsicle sticks i have popsicle sticks what is the sum of our popsicle sticks,Addition
320,1165,"[16, 62]",['X=(292.0+324.0)'],[616.0], Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?,Addition,lino picked up shells at the seashore in the morning and shells in the afternoon how many shells did he pick up in all,Addition
321,1166,"[12, 43]",['X=(105.0+698.0)'],[803.0]," There were 105 parents in the program and 698 pupils, too. How many people were present in the program?",Addition,there were parents in the program and pupils too how many people were present in the program,Addition
322,1167,"[27, 45]",['X=(425.0+275.0)'],[700.0]," Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?",Addition,last saturday marie sold magazines and newspapers what is the total number of reading materials she sold,Addition
323,1168,"[11, 34]",['X=(12.0+8.0)'],[20.0], There are 12 birds on the fence. 8 more birds land on the fence. How many birds are on the fence?,Addition,there are birds on the fence more birds land on the fence how many birds are on the fence,Addition
324,1169,"[1, 30]",['X=(22.0+13.0)'],[35.0], 22 boys went down the slide. 13 more boys went down the slide. How many boys went down the slide?,Addition,boys went down the slide more boys went down the slide how many boys went down the slide,Addition
325,1170,"[1, 34]",['X=(13.0+20.0)'],[33.0], 13 ducks are swimming in a lake. 20 more ducks come to join them. How many ducks are swimming in the lake?,Addition,ducks are swimming in a lake more ducks come to join them how many ducks are swimming in the lake,Addition
326,1171,"[1, 22]",['X=(30.0+10.0)'],[40.0], 30 dogs are barking. 10 more dogs start to bark. How many dogs are barking?,Addition,dogs are barking more dogs start to bark how many dogs are barking,Addition
327,1172,"[11, 44]",['X=(26.0+17.0)'],[43.0]," Bobby ate 26 pieces of candy. Then, he ate 17 more. How many pieces of candy did Bobby eat?",Addition,bobby ate pieces of candy then he ate more how many pieces of candy did bobby eat,Addition
328,1173,"[11, 35]",['X=(26.0+6.0)'],[32.0], Sandy had 26 pet fish. She bought 6 more fish. How many pet fish does Sandy have now?,Addition,sandy had pet fish she bought more fish how many pet fish does sandy have now,Addition
329,1174,"[19, 48]",['X=(47.0+13.0)'],[60.0], The clown blew up 47 balloons. Then he blew up 13 more balloons. How many balloons does the clown have now?,Addition,the clown blew up balloons then he blew up more balloons how many balloons does the clown have now,Addition
330,1175,"[15, 54]",['X=(54.0+23.0)'],[77.0], Our class got 54 books from the library. Then we got 23 more books from the library. How many books did our class get from the library?,Addition,our class got books from the library then we got more books from the library how many books did our class get from the library,Addition
331,1176,"[11, 36]",['X=(4.0+5.0)'],[9.0], Tessa has 4 apples. Anita gave her 5 more. She needs 10 apples to make a pie. Does she have enough to make a pie?,Addition,tessa has apples anita gave her more she needs apples to make a pie does she have enough to make a pie,Addition
332,1177,"[11, 67]",['X=(14.0+6.0)'],[20.0], Molly had 14 candles on her birthday cake. She grew older and got 6 more on her birthday cake. How old is Molly now?,Addition,molly had candles on her birthday cake she grew older and got more on her birthday cake how old is molly now,Addition
333,1178,"[11, 46]",['X=(22.0+15.0)'],[37.0], James ate 22 carrot sticks before dinner and 15 more after dinner. How many carrot sticks did he eat?,Addition,james ate carrot sticks before dinner and more after dinner how many carrot sticks did he eat,Addition
334,1179,"[31, 63]",['X=(5.0+12.0)'],[17.0]," Jovana filled her bucket with 5 pounds of shells. If she adds 12 more pounds of shell to fill her bucket, how many pounds does she have?",Addition,jovana filled her bucket with pounds of shells if she adds more pounds of shell to fill her bucket how many pounds does she have,Subtraction
335,1180,"[18, 68]",['X=(12.0+12.0)'],[24.0]," Isha’s pencil is 12 cubes long. If she gets another pencil that is 12 cubes long, how many cubes long are both pencils?",Addition,ishas pencil is cubes long if she gets another pencil that is cubes long how many cubes long are both pencils,Addition
336,1181,"[20, 53]",['X=(18.0+4.0)'],[22.0]," Isabella’s hair is 18 cubes long. If her hair grows 4 more inches, how long will it be?",Addition,isabellas hair is cubes long if her hair grows more inches how long will it be,Addition
337,1182,"[19, 50]",['X=(17.0+14.0)'],[31.0], Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats. How many cats does Mrs. Sheridan have altogether?,Addition,mrs sheridan has cats mr sheridan gave her more cats how many cats does mrs sheridan have altogether,Addition
338,1183,"[19, 48]",['X=(22.0+47.0)'],[69.0], Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish. How many fish does she have now?,Addition,mrs sheridan has fish her sister gave her more fish how many fish does she have now,Addition
339,1184,"[53, 86]",['X=(2.0*3.0)'],[6.0]," Mrs. Heine is buying Valentine’s Day treats for her 2 dogs. If she wants to buy them 3 heart biscuits each, how many biscuits does she need to  buy?",Multiplication,mrs heine is buying valentines day treats for her dogs if she wants to buy them heart biscuits each how many biscuits does she need to buy,Division
340,1185,"[10, 30]",['X=(87.0-8.0)'],[79.0], Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?,Subtraction,cade had marbles he gave to dylan how many does he have left,Subtraction
341,1186,"[79, 54]",['X=(49.0-18.0)'],[31.0], Michael has some fish in his fish tank. Ben gave him 18 more fish. Now he has 49. How many fish did he have to begin with?,Subtraction,michael has some fish in his fish tank ben gave him more fish now he has how many fish did he have to begin with,Subtraction
342,1187,"[37, 12]",['X=(140.0-129.0)'],[11.0], Alyssa had 129 cookies. Aiyanna has 140. How many more cookies does Aiyanna have than Alyssa?,Subtraction,alyssa had cookies aiyanna has how many more cookies does aiyanna have than alyssa,Subtraction
343,1188,"[34, 77]",['X=(12.0+54.0)'],[66.0], Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?,Addition,daniel had some noodles he gave noodles to william now daniel only has noodles how many noodles did daniel have to begin with,Subtraction
344,1189,"[12, 88]",['X=(25.0-11.0)'],[14.0], Hayley had 25 meatballs on her plate. Kirsten stole some of her meatballs. Now she has 11 meatballs on her plate. How many meatballs  did Kirsten steal?,Subtraction,hayley had meatballs on her plate kirsten stole some of her meatballs now she has meatballs on her plate how many meatballs did kirsten steal,Subtraction
345,1190,"[20, 78]",['X=(18.0-9.0)'],[9.0]," Isabella’s hair is 18 inches long. If she gets a haircut and now her hair is 9 inches long, how much of Isabella’s hair got cut off?",Subtraction,isabellas hair is inches long if she gets a haircut and now her hair is inches long how much of isabellas hair got cut off,Addition
346,1191,"[71, 20]",['X=(24.0-18.0)'],[6.0], Isabella’s hair is 18 inches long. By the end of the year her hair is 24 inches long. How much hair did she grow?,Subtraction,isabellas hair is inches long by the end of the year her hair is inches long how much hair did she grow,Subtraction
347,1192,"[80, 12]",['X=(28.0-5.0)'],[23.0], Jovana had 5 pounds of shells in her bucket. She added some shells and now has 28 pounds of shells. How many pounds did she add?,Subtraction,jovana had pounds of shells in her bucket she added some shells and now has pounds of shells how many pounds did she add,Subtraction
348,1193,"[18, 72]",['X=(31.0-14.0)'],[17.0]," Isha’s pencil is 31 inches long. If she sharpens it, now her pencil is 14 inches long. How much did she sharpen off of her pencil?",Subtraction,ishas pencil is inches long if she sharpens it now her pencil is inches long how much did she sharpen off of her pencil,Subtraction
349,1194,"[79, 19]",['X=(43.0-11.0)'],[32.0], Mrs. Sheridan has 11 cats. How many more cats does Mrs. Sheridan need to have 43 cats?,Subtraction,mrs sheridan has cats how many more cats does mrs sheridan need to have cats,Subtraction
350,1195,"[45, 19]",['X=(24.0-11.0)'],[13.0], Mrs. Sheridan has 11 cats. Mrs. Garrett has 24 cats. How many more cats does Mrs. Garrett have than Mrs. Sheridan?,Subtraction,mrs sheridan has cats mrs garrett has cats how many more cats does mrs garrett have than mrs sheridan,Subtraction
351,1196,"[15, 39]",['X=(30.0-8.0)'],[22.0], Mrs. Wong had 30 Valentines. She gave 8 Valentines to her children. How many does she have left?,Subtraction,mrs wong had valentines she gave valentines to her children how many does she have left,Subtraction
352,1197,"[19, 87]",['X=(58.0-16.0)'],[42.0], Mrs. Franklin had 58 Valentines. Mrs. Franklin gave some to her students. Now she has 16. How many Valentines did Mrs. Franklin give  to her students?,Subtraction,mrs franklin had valentines mrs franklin gave some to her students now she has how many valentines did mrs franklin give to her students,Subtraction
353,1198,"[18, 45]",['X=(86.0-36.0)'],[50.0], Mrs. Snyder made 86 heart cookies. She made 36 red cookies and the rest are pink. How many pink cookies did she make?,Subtraction,mrs snyder made heart cookies she made red cookies and the rest are pink how many pink cookies did she make,Subtraction
354,1199,"[19, 50]",['X=(58.0-24.0)'],[34.0], Mrs. Santiago has 58 red roses. Mrs. Garrett has 24. How many more red roses does Mrs. Santiago have than Mrs. Garrett?,Subtraction,mrs santiago has red roses mrs garrett has how many more red roses does mrs santiago have than mrs garrett,Subtraction
355,1200,"[1, 34]",['X=(14.0+21.0)'],[35.0], 14 birds were sitting in a tree. 21 more birds flew up to the tree. How many birds were there altogether in the tree?,Addition,birds were sitting in a tree more birds flew up to the tree how many birds were there altogether in the tree,Addition
356,1201,"[80, 1]",['X=(42.0-29.0)'],[13.0], 29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree. How many more flew up to the tree?,Subtraction,birds were sitting in a tree some more fly up to the tree then there were birds in the tree how many more flew up to the tree,Subtraction
357,1202,"[19, 48]",['X=(41.0+38.0)'],[79.0], Cindy’s mom baked 41 cookies. Paul’s dad baked 38 cookies. They both brought them to school for a party. How many cookies did they  have altogether?,Addition,cindys mom baked cookies pauls dad baked cookies they both brought them to school for a party how many cookies did they have altogether,Addition
358,1203,"[105, 1]",['X=(25.0-18.0)'],[7.0]," 18 children were riding on the bus. At the bus stop, some more children got on the bus. Then there were 25 children altogether on the bus. How  many children got on the bus at the bus stop?",Subtraction,children were riding on the bus at the bus stop some more children got on the bus then there were children altogether on the bus how many children got on the bus at the bus stop,Subtraction
359,1204,"[75, 11]",['X=(47.0-34.0)'],[13.0], Misha has 34 dollars. How many more dollars does she have to earn to have 47 dollars?,Subtraction,misha has dollars how many more dollars does she have to earn to have dollars,Subtraction
360,1205,"[12, 25]",['X=(28.0+35.0)'],[63.0], There were 28 girls and 35 boys on the playground at recess. How many children were there in all?,Addition,there were girls and boys on the playground at recess how many children were there in all,Addition
361,1206,"[12, 24]",['X=(44.0+53.0)'],[97.0], There were 44 boys and 53 girls on the playground at recess. How many children were on the playground in all?,Addition,there were boys and girls on the playground at recess how many children were on the playground in all,Addition
362,1207,"[12, 25]",['X=(58.0+37.0)'],[95.0], There were 58 geese and 37 ducks in the marsh. How many birds were there in all?,Addition,there were geese and ducks in the marsh how many birds were there in all,Addition
363,1208,"[10, 51]",['X=(42.0+78.0)'],[120.0], Paul had 42 strawberries in his basket. He picked 78 more strawberries. How many strawberries did he have then?,Addition,paul had strawberries in his basket he picked more strawberries how many strawberries did he have then,Addition
364,1209,"[82, 11]",['X=(44.0-18.0)'],[26.0], Robin had 18 pieces of gum. Her brother gave her some more pieces. Now Robin has 44 pieces in all. How many pieces of gum did Robin's  brother give her?,Subtraction,robin had pieces of gum her brother gave her some more pieces now robin has pieces in all how many pieces of gum did robins brother give her,Subtraction
365,1210,"[11, 33]",['X=(142.0-78.0)'],[64.0], Bobby has 142 books. Kristi has 78 books. How many more books does Bobby have than Kristi?,Subtraction,bobby has books kristi has books how many more books does bobby have than kristi,Subtraction
366,1211,"[94, 43]",['X=(60.0-34.0)'],[26.0]," Tommy had some balloons. His mom gave him 34 more balloons for his birthday. Then, Tommy had 60 balloons. How many balloons did  Tommy have to start with?",Subtraction,tommy had some balloons his mom gave him more balloons for his birthday then tommy had balloons how many balloons did tommy have to start with,Subtraction
367,1212,"[12, 41]",['X=(14.0+22.0)'],[36.0], There were 14 kids on the soccer field. 22 kids decided to join in. Now how many kids are on the soccer field?,Addition,there were kids on the soccer field kids decided to join in now how many kids are on the soccer field,Addition
